Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
2nd year,Other,Yes,6-12 months,Robo-advisor,Not confident,Not Sure,Not sure,As risky,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Less than 10% interest,Moderately,Not confident,Stock performance charts,Yes,Sometimes,Social media trends,Agree,Very unlikely,Disagree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Not confident,Market news,No,Often,Personal decisions,Neutral,Unlikely,Agree
2nd year,Business / Economics,Yes,6-12 months,Trading app,Somewhat confident,Compound interest/growth,It stays the same,Less risky,Higher risk generally leads to higher potential reward,No difference,To minimize fees and expenses,Exactly 10% interest,Slightly,Very confident,Stock performance charts,No,Often,Data and analytics,Disagree,Unlikely,Disagree
Postgraduate,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Not sure,Slightly,Very confident,Stock performance charts,Not sure,Often,Data and analytics,Strongly disagree,Very likely,Agree
Postgraduate,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Very confident,Not Sure,It increases,Not sure,Higher risk generally leads to higher potential reward,No difference,Not sure,Less than 10% interest,Moderately,Not confident,Market news,No,Often,Data and analytics,Neutral,Unlikely,Neutral
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Not confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Less than 10% interest,Slightly,Confident,Portfolio analytics,Yes,Rarely,Advice from others,Agree,Very unlikely,Disagree
1st year,Business / Economics,Yes,1-2 years,Trading app,Confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,Moderately,Very confident,Stock performance charts,No,Rarely,Social media trends,Disagree,Very unlikely,Agree
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Not Sure,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Not sure,Slightly,Confident,Other,No,Rarely,Social media trends,Disagree,Neutral,Neutral
Postgraduate,Humanities / Arts,Yes,1-2 years,Trading app,Not confident,Compound interest/growth,It stays the same,Not sure,Risk and reward are not related,Not sure,To guarantee higher overall returns,Exactly 0% interest,Significantly,Somewhat confident,Market news,No,Sometimes,Social media trends,Agree,Unlikely,Strongly agree
1st year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,Less risky,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Somewhat confident,Stock performance charts,Yes,Sometimes,Social media trends,Agree,Neutral,Strongly agree
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It stays the same,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,Slightly,Confident,Portfolio analytics,No,Rarely,Social media trends,Disagree,Neutral,Neutral
3rd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Very confident,Not Sure,Not sure,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,To guarantee higher overall returns,Not sure,Significantly,Very confident,Stock performance charts,Yes,Sometimes,Personal decisions,Agree,Unlikely,Strongly agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Other,Yes,Sometimes,Data and analytics,Agree,Likely,Agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Capital (Your Investment),It stays the same,Less risky,Not sure,No difference,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Not confident,Stock performance charts,No,Never,Social media trends,Neutral,Likely,Neutral
2nd year,Other,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,Not sure,As risky,Risk and reward are not related,Not sure,To reduce the overall risk of the portfolio,Less than 10% interest,No,Confident,Stock performance charts,Yes,Rarely,Personal decisions,Agree,Unlikely,Strongly agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Other,No,Always,Data and analytics,Neutral,Very likely,Strongly agree
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Somewhat confident,Stock performance charts,Yes,Sometimes,Data and analytics,Agree,Unlikely,Agree
2nd year,Engineering/ Science,Yes,6-12 months,Trading app,Somewhat confident,Not Sure,Not sure,As risky,Not sure,£110 in one year,Not sure,Exactly 10% interest,No,Somewhat confident,Other,No,Rarely,Advice from others,Agree,Neutral,Strongly agree
1st year,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Not sure,£100 today,To reduce the overall risk of the portfolio,Less than 10% interest,Slightly,Very confident,AI or data insights,No,Often,Data and analytics,Strongly disagree,Likely,Strongly agree
Postgraduate,Other,Yes,6-12 months,Trading app,Very confident,Will be equal,It stays the same,Less risky,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Very confident,AI or data insights,No,Sometimes,Advice from others,Neutral,Very likely,Strongly agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It stays the same,As risky,Risk and reward are not related,Not sure,To guarantee higher overall returns,Not sure,N/A - Not an investor,Very confident,Stock performance charts,No,Always,Social media trends,Strongly agree,Likely,Neutral
Postgraduate,Engineering/ Science,Yes,Over 2 years,Trading app,Confident,Not Sure,It increases,Not sure,Higher risk generally leads to higher potential reward,Not sure,To guarantee higher overall returns,Exactly 10% interest,Slightly,Confident,Stock performance charts,Yes,Sometimes,Data and analytics,Neutral,Neutral,Strongly agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It decreases,As risky,Not sure,£100 today,Not sure,Not sure,N/A - Not an investor,Confident,Portfolio analytics,Yes,Sometimes,Personal decisions,Disagree,Neutral,Neutral
Postgraduate,Business / Economics,Yes,1-2 years,Robo-advisor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,No,Not confident,Stock performance charts,Yes,Never,Data and analytics,Neutral,Neutral,Strongly agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It increases,Less risky,Not sure,£100 today,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Confident,Stock performance charts,Yes,Sometimes,Social media trends,Agree,Very unlikely,Strongly agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,Less risky,Risk and reward are not related,£110 in one year,Not sure,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Always,Social media trends,Neutral,Unlikely,Strongly agree
3rd year,Business / Economics,Yes,Over 2 years,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,Not sure,Exactly 10% interest,Significantly,Confident,Portfolio analytics,Yes,Often,Data and analytics,Disagree,Likely,Agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Not sure,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Often,Data and analytics,Strongly agree,Likely,Agree
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It increases,As risky,Risk and reward are not related,No difference,Not sure,Less than 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Rarely,Personal decisions,Disagree,Very unlikely,Neutral
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It increases,As risky,Risk and reward are not related,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Stock performance charts,No,Rarely,Social media trends,Agree,Neutral,Agree
3rd year,Engineering/ Science,Yes,6-12 months,Robo-advisor,Somewhat confident,Capital (Your Investment),It increases,Not sure,Higher risk generally leads to lower potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,Portfolio analytics,No,Rarely,Social media trends,Strongly agree,Very unlikely,Strongly disagree
1st year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Somewhat confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Not sure,Not sure,To minimize fees and expenses,Exactly 10% interest,Slightly,Somewhat confident,Other,No,Never,Social media trends,Agree,Very unlikely,Disagree
3rd year,Other,Yes,6-12 months,Trading app,Somewhat confident,Will be equal,Not sure,Less risky,Risk and reward are not related,No difference,Not sure,Exactly 0% interest,Slightly,Somewhat confident,Stock performance charts,No,Rarely,Social media trends,Neutral,Unlikely,Strongly agree
3rd year,Other,Yes,6-12 months,Trading app,Not confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to lower potential reward,Not sure,Not sure,Less than 10% interest,Moderately,Somewhat confident,Portfolio analytics,Yes,Never,Social media trends,Disagree,Neutral,Agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,Not sure,Risk and reward are not related,£110 in one year,To minimize fees and expenses,Not sure,N/A - Not an investor,Confident,Stock performance charts,No,Never,Advice from others,Neutral,Unlikely,Disagree
1st year,Other,No,N/A - Not an investor,N/A - Not an investor,Confident,Capital (Your Investment),It increases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Less than 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Advice from others,Strongly agree,Unlikely,Disagree
1st year,Business / Economics,Yes,6-12 months,Trading app,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Not confident,Stock performance charts,No,Rarely,Personal decisions,Agree,Neutral,Neutral
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Often,Advice from others,Disagree,Very unlikely,Disagree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It decreases,As risky,Higher risk generally leads to lower potential reward,No difference,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Not confident,Stock performance charts,Not sure,Sometimes,Advice from others,Strongly agree,Very likely,Neutral
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It decreases,As risky,Higher risk generally leads to lower potential reward,No difference,Not sure,Not sure,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Advice from others,Agree,Very likely,Agree
Postgraduate,Engineering/ Science,Yes,6-12 months,Robo-advisor,Confident,Not Sure,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,AI or data insights,No,Never,Advice from others,Agree,Neutral,Neutral
3rd year,Engineering/ Science,Yes,6-12 months,Trading app,Somewhat confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Confident,Portfolio analytics,No,Sometimes,Data and analytics,Neutral,Very unlikely,Disagree
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,Not sure,Never,Advice from others,Strongly agree,Very likely,Disagree
2nd year,Humanities / Arts,Yes,1-2 years,Trading app,Confident,Will be equal,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,Moderately,Somewhat confident,Stock performance charts,Not sure,Sometimes,Advice from others,Agree,Neutral,Strongly disagree
Postgraduate,Other,Yes,Less than 6 months,Robo-advisor,Very confident,Capital (Your Investment),It decreases,Not sure,Not sure,Not sure,To guarantee higher overall returns,Exactly 10% interest,Slightly,Confident,Stock performance charts,Yes,Sometimes,Personal decisions,Disagree,Neutral,Neutral
Postgraduate,Business / Economics,Yes,1-2 years,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,Moderately,Very confident,AI or data insights,Yes,Always,Data and analytics,Strongly disagree,Likely,Strongly agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Very confident,Other,No,Often,Data and analytics,Disagree,Neutral,Disagree
Postgraduate,Other,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),Not sure,Not sure,Higher risk generally leads to higher potential reward,No difference,To minimize fees and expenses,Not sure,N/A - Not an investor,Somewhat confident,Market news,No,Rarely,Advice from others,Strongly disagree,Very unlikely,Neutral
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,Not sure,Exactly 10% interest,N/A - Not an investor,Very confident,AI or data insights,No,Always,Data and analytics,Strongly disagree,Very likely,Agree
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To guarantee higher overall returns,Not sure,Slightly,Confident,Stock performance charts,Yes,Sometimes,Social media trends,Strongly agree,Neutral,Disagree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Will be equal,It stays the same,More risky than investing in a diversified fund,Not sure,No difference,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Very confident,Market news,Yes,Often,Data and analytics,Strongly disagree,Very likely,Neutral
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It decreases,As risky,Higher risk generally leads to lower potential reward,£100 today,To guarantee higher overall returns,Less than 10% interest,N/A - Not an investor,Somewhat confident,Market news,No,Sometimes,Advice from others,Strongly agree,Neutral,Agree
3rd year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Not confident,Capital (Your Investment),It stays the same,Less risky,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Less than 10% interest,Moderately,Confident,Other,Yes,Rarely,Advice from others,Agree,Unlikely,Agree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Not sure,N/A - Not an investor,Confident,Stock performance charts,No,Often,Advice from others,Strongly disagree,Neutral,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Somewhat confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,No,Somewhat confident,Portfolio analytics,No,Never,Personal decisions,Agree,Very unlikely,Agree
2nd year,Engineering/ Science,Yes,Less than 6 months,Robo-advisor,Very confident,Not Sure,Not sure,Not sure,Higher risk generally leads to higher potential reward,Not sure,Not sure,Not sure,Significantly,Somewhat confident,Stock performance charts,No,Rarely,Social media trends,Agree,Very unlikely,Neutral
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Not Sure,It increases,As risky,Not sure,£110 in one year,To guarantee higher overall returns,Less than 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Rarely,Advice from others,Strongly agree,Unlikely,Disagree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Stock performance charts,No,Often,Data and analytics,Strongly disagree,Very likely,Strongly agree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Not sure,Moderately,Somewhat confident,Portfolio analytics,No,Never,Advice from others,Agree,Very likely,Agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It decreases,More risky than investing in a diversified fund,Not sure,Not sure,To guarantee higher overall returns,Not sure,N/A - Not an investor,Confident,AI or data insights,Not sure,Rarely,Social media trends,Strongly agree,Likely,Agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Very confident,AI or data insights,No,Always,Data and analytics,Strongly disagree,Likely,Neutral
3rd year,Humanities / Arts,Yes,Over 2 years,Trading app,Not confident,Capital (Your Investment),Not sure,More risky than investing in a diversified fund,Not sure,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Stock performance charts,No,Rarely,Social media trends,Disagree,Neutral,Agree
2nd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Very confident,Capital (Your Investment),Not sure,Less risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Portfolio analytics,No,Always,Social media trends,Neutral,Neutral,Disagree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It stays the same,Not sure,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Market news,No,Sometimes,Data and analytics,Agree,Neutral,Agree
2nd year,Business / Economics,Yes,Less than 6 months,Trading app,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Moderately,Very confident,Portfolio analytics,Not sure,Rarely,Personal decisions,Neutral,Likely,Neutral
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Capital (Your Investment),Not sure,More risky than investing in a diversified fund,Not sure,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,No,Confident,Portfolio analytics,No,Rarely,Personal decisions,Strongly agree,Neutral,Agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,Not sure,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,Yes,Sometimes,Social media trends,Strongly disagree,Neutral,Disagree
Postgraduate,Business / Economics,Yes,Over 2 years,Other,Very confident,Compound interest/growth,It increases,Not sure,Not sure,£110 in one year,Not sure,Exactly 10% interest,Significantly,Very confident,Stock performance charts,No,Rarely,Data and analytics,Strongly disagree,Likely,Agree
1st year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Very confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To minimize fees and expenses,Exactly 0% interest,Moderately,Somewhat confident,Stock performance charts,No,Rarely,Advice from others,Strongly agree,Neutral,Neutral
2nd year,Engineering/ Science,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Not confident,Portfolio analytics,Not sure,Sometimes,Advice from others,Strongly agree,Very likely,Strongly disagree
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,Portfolio analytics,No,Sometimes,Data and analytics,Strongly disagree,Unlikely,Agree
Postgraduate,Humanities / Arts,Yes,Over 2 years,Trading app,Confident,Not Sure,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Stock performance charts,No,Always,Personal decisions,Disagree,Very likely,Strongly agree
3rd year,Other,Yes,6-12 months,Robo-advisor,Somewhat confident,Capital (Your Investment),It stays the same,Not sure,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Not sure,Slightly,Somewhat confident,Stock performance charts,No,Rarely,Personal decisions,Neutral,Neutral,Neutral
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Will be equal,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Always,Personal decisions,Disagree,Likely,Strongly agree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Not sure,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Rarely,Data and analytics,Disagree,Neutral,Agree
Postgraduate,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Always,Data and analytics,Strongly disagree,Very likely,Agree
2nd year,Engineering/ Science,Yes,Over 2 years,Trading app,Not confident,Will be equal,Not sure,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Confident,Stock performance charts,No,Sometimes,Data and analytics,Strongly agree,Neutral,Neutral
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It increases,Not sure,Higher risk generally leads to higher potential reward,£100 today,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Never,Personal decisions,Neutral,Likely,Neutral
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Somewhat confident,Stock performance charts,Yes,Always,Advice from others,Neutral,Neutral,Neutral
1st year,Business / Economics,Yes,6-12 months,Trading app,Not confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Confident,Stock performance charts,No,Rarely,Personal decisions,Agree,Neutral,Strongly agree
3rd year,Engineering/ Science,Yes,6-12 months,Robo-advisor,Very confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Agree,Very likely,Neutral
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Not confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Never,Advice from others,Strongly agree,Unlikely,Neutral
Postgraduate,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Stock performance charts,No,Often,Data and analytics,Disagree,Neutral,Strongly agree
Postgraduate,Engineering/ Science,Yes,1-2 years,Other,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,Portfolio analytics,No,Sometimes,Social media trends,Agree,Unlikely,Strongly disagree
Postgraduate,Engineering/ Science,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It stays the same,As risky,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Not sure,Moderately,Somewhat confident,Stock performance charts,No,Rarely,Advice from others,Strongly agree,Unlikely,Agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It increases,Not sure,Higher risk generally leads to lower potential reward,Not sure,Not sure,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,Yes,Sometimes,Personal decisions,Agree,Neutral,Neutral
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Confident,Not Sure,It increases,More risky than investing in a diversified fund,Not sure,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Somewhat confident,AI or data insights,No,Rarely,Advice from others,Strongly agree,Neutral,Agree
2nd year,Business / Economics,Yes,6-12 months,Trading app,Somewhat confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Very confident,AI or data insights,No,Sometimes,Data and analytics,Strongly disagree,Likely,Agree
2nd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Capital (Your Investment),It increases,Not sure,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,Stock performance charts,No,Sometimes,Social media trends,Agree,Unlikely,Strongly agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It stays the same,Less risky,Higher risk generally leads to lower potential reward,No difference,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,Market news,Not sure,Sometimes,Social media trends,Agree,Unlikely,Agree
3rd year,Engineering/ Science,Yes,Over 2 years,Robo-advisor,Somewhat confident,Will be equal,It decreases,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Somewhat confident,Stock performance charts,Not sure,Sometimes,Social media trends,Agree,Very likely,Neutral
3rd year,Engineering/ Science,Yes,Over 2 years,Robo-advisor,Confident,Capital (Your Investment),It increases,Not sure,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Confident,AI or data insights,No,Often,Data and analytics,Agree,Neutral,Strongly agree
